Date,Price,Open,High,Low,Vol.,Change %
9/29/2022,136.41,139.36,139.84,135.2,38.99M,-3.67%
9/30/2022,135.68,136.05,140.99,135.5,33.17M,-0.54%
10/3/2022,138.61,137.14,139.62,136.1,27.72M,2.16%
10/4/2022,140.28,140.49,142.39,139.34,34.67M,1.20%
10/5/2022,138.98,138.24,140.21,134.78,27.98M,-0.93%
10/6/2022,139.07,137.71,141.45,136.6,36.23M,0.06%
10/7/2022,133.45,136.76,138.29,132.44,33.21M,-4.04%
10/10/2022,133.79,133.55,136.11,131.87,24.02M,0.25%
10/11/2022,128.54,131.62,132.66,126.99,38.48M,-3.92%
10/12/2022,127.5,128.32,129.67,126.25,34.61M,-0.81%
10/13/2022,130.29,123.53,131.14,122.53,34.33M,2.19%
10/14/2022,126.76,131,131.79,126.52,23.56M,-2.71%
10/17/2022,134.04,130.3,134.79,130.18,29.61M,5.74%
10/18/2022,132.8,137.09,137.84,131.4,25.44M,-0.93%
10/19/2022,133.23,132.89,137,132.22,30.69M,0.32%
10/20/2022,131.53,132.93,136.77,131.31,26.36M,-1.28%
10/21/2022,130.01,126.31,130.12,125.44,46.35M,-1.16%
10/24/2022,129.72,127.25,133.48,124.57,63.56M,-0.22%
10/25/2022,137.51,130.88,138.35,130.59,38.43M,6.01%
10/26/2022,129.82,131.68,135.55,128.53,89.29M,-5.59%
10/27/2022,97.94,97.97,102.5,96.38,232.32M,-24.56%
10/28/2022,99.2,99.58,100.85,97.51,95.93M,1.29%
10/31/2022,93.16,98.22,99.32,92.6,121.36M,-6.09%
11/1/2022,95.2,94.33,97.49,93.55,110.19M,2.19%
11/2/2022,90.54,94.21,95.2,90.48,71.82M,-4.89%
11/3/2022,88.91,90.08,90.46,88.41,60.66M,-1.80%
11/4/2022,90.79,90.35,91.39,88.09,55.64M,2.11%
11/7/2022,96.72,94.78,96.88,93.1,81.99M,6.53%
11/8/2022,96.47,95.92,97.8,94.79,52.09M,-0.26%
11/9/2022,101.47,101.72,104.9,100.74,107.68M,5.18%
11/10/2022,111.87,107.12,112.75,104.61,80.67M,10.25%
11/11/2022,113.02,109.23,114.9,108.81,59.96M,1.03%
11/14/2022,114.22,110.99,116.27,110.8,53.39M,1.06%
11/15/2022,117.08,116.07,118.74,114.41,50.67M,2.50%
11/16/2022,113.23,114.5,116.07,112.66,33.29M,-3.29%
11/17/2022,111.45,110.41,112.33,109.8,35.09M,-1.57%
11/18/2022,112.05,113.8,114.32,110.62,33.36M,0.54%
11/21/2022,109.86,111.52,112.37,109.19,24.35M,-1.95%
