Date,Price,Open,High,Low,Vol.,Change %
12/13/2022,95.85,98.07,99.8,95.38,34.79M,2.45%
12/14/2022,95.31,95.54,97.22,93.94,26.45M,-0.56%
12/15/2022,91.2,93.54,94.03,90.43,28.30M,-4.31%
12/16/2022,90.86,91.2,91.75,90.01,48.49M,-0.37%
12/19/2022,89.15,90.88,91.2,88.93,23.02M,-1.88%
12/20/2022,89.63,88.73,89.78,88.04,21.98M,0.54%
12/21/2022,90.25,89.73,90.92,88.91,20.34M,0.69%
12/22/2022,88.26,88.93,89.18,86.94,23.66M,-2.20%
12/23/2022,89.81,87.62,90.1,87.62,17.82M,1.76%
12/27/2022,87.93,89.31,89.5,87.54,15.47M,-2.09%
12/28/2022,86.46,87.5,88.52,86.37,17.88M,-1.67%
12/29/2022,88.95,87.03,89.36,86.99,18.28M,2.88%
12/30/2022,88.73,87.36,88.83,87.03,19.19M,-0.25%
1/3/2023,89.7,89.83,91.55,89.02,20.74M,1.09%
1/4/2023,88.71,91.01,91.24,87.8,27.05M,-1.10%
1/5/2023,86.77,88.07,88.21,86.56,23.14M,-2.19%
1/6/2023,88.16,87.36,88.47,85.57,26.61M,1.60%
1/9/2023,88.8,89.19,90.83,88.58,23.00M,0.73%
1/10/2023,89.24,86.72,89.47,86.7,22.86M,0.50%
1/11/2023,92.26,90.06,92.45,89.74,26.00M,3.38%
1/12/2023,91.91,92.4,92.62,90.57,22.75M,-0.38%
1/13/2023,92.8,91.53,92.98,90.93,18.63M,0.97%
1/17/2023,92.16,92.78,92.97,90.84,22.94M,-0.69%
1/18/2023,91.78,92.94,93.59,91.4,19.64M,-0.41%
1/19/2023,93.91,91.39,94.4,91.38,28.71M,2.32%
1/20/2023,99.28,95.95,99.42,95.91,53.70M,5.72%
1/23/2023,101.21,99.13,101.4,98.75,31.79M,1.94%
1/24/2023,99.21,99.55,101.09,98.7,27.39M,-1.98%
1/25/2023,96.73,97.2,97.72,95.26,31.00M,-2.50%
1/26/2023,99.16,98.28,99.21,96.82,24.54M,2.51%
1/27/2023,100.71,99.05,101.58,98.97,29.02M,1.56%
1/30/2023,97.95,98.75,99.41,97.52,24.37M,-2.74%
1/31/2023,99.87,97.86,99.91,97.79,22.31M,1.96%
2/1/2023,101.43,99.74,102.19,98.42,26.39M,1.56%
2/2/2023,108.8,106.79,108.82,106.54,46.62M,7.27%
2/3/2023,105.22,103.51,108.02,103.3,36.82M,-3.29%
